GLOSS,FMU,TRANSLATIONS
AFRONDEN,ROT,"afronden, afmaken, afwerken, afkrijgen, voltooien, afgerond, beeindigen, afkappen, nu stoppen, naar een afronding toe werken "
BEGINNEN-A,ROT,"begin, beginnen, hup, laten we starten, bij aanvang, in het begin, toen het begon, begonnen "
BESLUITEN-B,ROT,"(afsluiten), vaststellen, beslissen, bepalen, besluit, besloten, bepaald, knoop doorhakken, besluiten, beslissing, zo doen "
BREKEN-A,ROT,"breken, knakken, kapot, iets kapot maken, kapot breken. Een staaf breken, potlood breken, een buis breken, een tak breken, een langwerpig iets breken "
DRAAIEN,ROT,"draaien, draaiknop, kran, kraan, Philips, een peertje erin draaien, omdraaien, met de kraan reguleren, aandraaien, Eindhoven, opendraaien, dichtdraaien, 'traditionele kraan met draaikoppen’"
OMKEREN,ROT,"omkeren, overleden, bekeren, dopen, omdraaien, keren, pannenkoek(en) omkeren, weerleggen, een plat iets omdraaien, twee of meerdere platte objecten omdraaien, op de andere kant leggen"
OVERLIJDEN,ROT,"overlijden, sterven, dood, overleden, doodgaan"
SCHAKELEN-B,ROT,"tussen verschillende situaties wisselen, afwisselen, om en om, schakelen, switchen, omschakelen, transfer, iets omzetten, een situatie of uitgangspunt veranderen, overgang, overgaan "
SLUITEN,ROT,"uitsluiten, afsluiten, sluiten, opsluiten, dicht, gesloten, beëindigen, op slot, op slot doen, uit doen "
UIT-ELKAAR-VALLEN,ROT,"uit elkaar vallen, groep valt uit elkaar, takjes of pennen/potloden tegen elkaar opgestapeld vallen uit elkaar, iets opgestapeld tegen elkaar valt uit elkaar, mikado valt uit elkaar "
VERANDEREN-A,ROT,"andersom, veranderen, switchen, omzetten, verandering"
ZICH-BEDENKEN,ROT,"zich bedenken, van gedachten veranderen, zich bekeren, terugdraaien van voorstel/idea "
APART-A,NEX,"apart, het een apart van de ander, erbuiten laten, afscheiden, uit elkaar houden"
COMMUNICATIE,NEX,"communicatie, cursus"
GELIJK-NIVEAU,NEX,"gelijkwaardig, bij elkaar aansluiten, op zelfde hoogte, neutraal, gelijk niveau"
MEE-EENS-B,NEX,"eens, mee eens zijn, klopt, mee eens, overeenkomen, overeenkomst"
ONTMOETEN-A,NEX,"ontmoeten, elkaar tegenkomen, treffen"
OORLOG-A,NEX,"oorlog, gevecht, ruzie"
RUZIE-A,NEX,"ruzie, oorlog, vijandig, conflicten"
SAMEN-B,NEX,"samen, als partners samen, een stel zijn, twee personen zijn samen, twee partijen zijn samen"
SCHEIDEN,NEX,"scheiding, uit elkaar, scheiden, van elkaar af, echtscheiding"
SYNONIEM,NEX,synoniem
ZELFDE-A,NEX,"lijken op, alsof, ook, dezelfde, zelfde, zelfde, hetzelfde, hetzelfde als, vergelijkbaar, gelijk, consequent, gelijkwaardig"
ZUS-C,NEX,"zus, broer"
BIJEENKOMEN,NEX,"integreren, bijeenkomen, samen komen, groep komt bijeen"
OVEREENKOMST,NEX,"overeenkomst, akkoord, agreement, compromis"
ENE-KANT-ANDERE-KANT-D,NEX,"aan de ene kant-aan de andere kant, enerzijds-anderzijds, beiden, of dit of dat, richting, ene kant andere kant"
DANSEN-A,IND,"dansen, ballet, dans"
KIJKEN-A,IND,"kijken, observeren, gadeslaan, iets of iemand bestuderen, bekijken, toezien, toezicht, zien, beschouwen"
REGERING-A,IND,"overheid, regering, minister, bestuur, vergadering, vergaderen, besturen"
REKENEN-A,IND,"getal, rekenen, aantal, tellen"
ROOSTER,IND,"tabel, rooster, schema, overzicht, Excel"
TWEEEN-A,IND,"wij tweeën, jullie tweeën, wij, jullie, zij, samen, elkaar, allebei, tweeling, tweeen, ons"
VERSCHILLENDE-A,IND,"verschillen, enzovoorts, diverse(n), verschillende, van alles wat"
BRUS-B,IND,"broer, zus, neef, nicht"
DOOR-ELKAAR-C,IND,"proces, rommel, rommelen, (alsmaar) doorgaan, mengen, door elkaar"
ENZOVOORTS-C,IND,enzovoorts
HOEVEEL,IND,"hoeveel, enkele, paar, sommige"
REGEN-A,IND,"motregen, stortregen, bui, regen, miezerig"
RIJ,IND,"in de rij staan, rij van mensen, rij"
TELLEN,IND,"tellen, paar, sommige, sommigen, aantal, aantallen"
VOORSTELLEN-A,IND,"dromen, voorstelling, droom, fantasie, fantaseren, verzinnen, zich iets voorstellen"
ERGENS-A,WID,"ergens, daar ergens"
SOMS-A,WID,soms
VAAG,WID,"vaag, niet duidelijk, onduidelijk"
VERWARD-A,WID,"verward, verwarring, in de war, war, vergissen, vergissing, zich vergissen, verwarren"
OMGEVING-A,WID,"omgeving, zij, hen, de mensen, milieu, natuur, jullie, allemaal, klimaat"
PARASOL,WID,"parasol, koepel"
REGIO-A,WID,"gebied, omgeving, regio, landelijk, overal"
RUIMTE-A,WID,"gebied, familie, omgeving, algemeen, maatschappij, groep mensen, regio, situatie, milieu wijk, kamer, plaats, ruimte, ergens, buurt"
WAAR-A,WID,"waarom, waar"
VERSPREIDEN-A,WID,"verspreiden, netwerk"
