BRUS-B.mov,BRUS-B,IND,broer, zus, neef, nicht,,,,,,,,,,
DANSEN-A.mov,DANSEN-A,IND,dansen, ballet, dans,,,,,,,,,,,
DOOR-ELKAAR-C.mov,DOOR-ELKAAR-C,IND,proces, rommel, rommelen, (alsmaar) doorgaan, mengen, door elkaar,,,,,,,,
ENZOVOORTS-C.mov,ENZOVOORTS-C,IND,enzovoorts,,,,,,,,,,,,,
HOEVEEL.mov,HOEVEEL,IND,hoeveel, enkele, paar, sommige,,,,,,,,,,
KIJKEN-A.mov,KIJKEN-A,IND,kijken, observeren, gadeslaan, iets of iemand bestuderen, bekijken, toezien, toezicht, zien, beschouwen,,,,,
REGEN-A.mov,REGEN-A,IND,motregen, stortregen, bui, regen, miezerig,,,,,,,,,
REGERING-A.mov    ,REGERING-A,IND,overheid, regering, minister, bestuur, vergadering, vergaderen, besturen,,,,,,,
REKENEN-A.mov     ,REKENEN-A,IND,getal, rekenen, aantal, tellen,,,,,,,,,,
RIJ.mov,RIJ,IND,in de rij staan, rij van mensen, rij,,,,,,,,,,,
ROOSTER.mov,ROOSTER,IND,tabel, rooster, schema, overzicht, Excel,,,,,,,,,
TELLEN.mov,TELLEN,IND,tellen, paar, sommige, sommigen, aantal, aantallen,,,,,,,,
TWEEEN-A.mov,TWEEEN-A,IND,wij tweeen, jullie tweeen, wij, jullie, zij, samen, elkaar, allebei, tweeling, tweeen, ons,,,
VERSCHILLENDE-A.mov,VERSCHILLENDE-A,IND,verschillen, enzovoorts, diverse(n), verschillende, van alles wat,,,,,,,,,
VOORSTELLEN-A.mov,VOORSTELLEN-A,IND,dromen, voorstelling, droom, fantasie, fantaseren, verzinnen, zich iets voorstellen,,,,,,,
APART-A.mov,APART-A,NEX,apart, het een apart van de ander, erbuiten laten, afscheiden, uit elkaar houden,,,,,,,,,
BIJEENKOMEN.mov,BIJEENKOMEN,NEX,integreren, bijeenkomen, samen komen, groep komt bijeen,,,,,,,,,,
COMMUNICATIE.mov,COMMUNICATIE,NEX,communicatie, cursus,,,,,,,,,,,,
ENE-KANT-ANDERE-KANT.mov  ,ENE-KANT-ANDERE-KANT-D,NEX,aan de ene kant-aan de andere kant, enerzijds-anderzijds, beiden, of dit of dat, richting, ene kant andere kant,,,,,,,,
GELIJK-NIVEAU.mov,GELIJK-NIVEAU,NEX,gelijkwaardig, bij elkaar aansluiten, op zelfde hoogte, neutraal, gelijk niveau,,,,,,,,,
ONTMOETEN.mov     ,ONTMOETEN-A,NEX,ontmoeten, elkaar tegenkomen, treffen,,,,,,,,,,,
OORLOG-A.mov,OORLOG-A,NEX,oorlog, gevecht, ruzie,,,,,,,,,,,
