Gloss, corr_resp, other_resp 
AFRONDEN, afronden, vaag
BEGINNEN A, afronden, enzovoorts
BESLUITEN B, mikado valt uit elkaar  , oorlog
BREKEN A, een situatie of uitgangspunt veranderen, dansen
DRAAIEN, kraan, vaag
OMKEREN, schakelen, aantallen 
OVERLIJDEN, afsluiten, waarom
SCHAKELEN B, hup, observeren
SLUITEN, knakken, paar
UIT ELKAAR VALLEN, gesloten, zij
VERANDEREN A, switchen, vaag
ZICH BEDENKEN, kapot breken. Een staaf breken, zus
APART A, samen komen, verzinnen
COMMUNICATIE, ene kant andere kant , proces
GELIJK NIVEAU, gevecht,soms
MEE EENS B, gelijk niveau , verward
ONTMOETEN A,synoniem, mengen
OORLOG A, overeenkomst, overgang
RUZIE A, ruzie , een langwerpig iets breken  
SAMEN B, afscheiden, kraan
SCHEIDEN, gelijkwaardig,enzovoorts
SYNONIEM, integreren, terugdraaien van voorstel idea  
ZELFDE A, bijeenkomen, netwerk 
ZUS C, vergelijkbaar,soms
BIJEENKOMEN, uit elkaar, besturen 
OVEREENKOMST, bijeenkomen, rij 
ENE KANT ANDERE KANT D,synoniem, doodgaan 
DANSEN A, fantasie,synoniem
KIJKEN A, paar, terugdraaien van voorstel idea  
REGERING A, rommel, richting
REKENEN A, aantal, cursus 
ROOSTER, getal, twee personen zijn samen
TWEEEN A, fantaseren, twee partijen zijn samen 
VERSCHILLENDE A, zich iets voorstellen , een tak breken
BRUS B, allebei, zich bedenken
DOOR ELKAAR C, hoeveel, zus
ENZOVOORTS C, bestuur, mee eens zijn
HOEVEEL, sommige , uitsluiten
REGEN A, tabel, consequent
RIJ, mengen, ook
TELLEN, schema, transfer
VOORSTELLEN A, rekenen, cursus 
ERGENS A, overal , potlood breken
SOMS A, waarom, tussen verschillende situaties wisselen
VAAG, niet duidelijk, als partners samen
VERWARD A, landelijk, besluiten
OMGEVING A, verspreiden, van elkaar af
PARASOL, koepel , aan de ene kant aan de andere kant
REGIO A, ergens, switchen
RUIMTE A, ergens, mee eens zijn
WAAR A, verspreiden, klopt
VERSPREIDEN A, omgeving, dood
