Gloss, corr_resp, other_resp 
NEX_003.mov, bijeenkomen, ballet
NEX_004.mov, akkoord,enzovoorts
NEX_019.mov,overeenkomst, op slot doen
NEX_024.mov, echtscheiding, afgerond
NEX_025.mov,gelijkwaardig, laten we starten
NEX_030.mov, het een apart van de ander, ESPRhoven
NEX_032.mov, neutraal, allemaal
NEX_034.mov, ruzie, zich iets voorstellen
NEX_052.mov, richting,soms
NEX_061.mov, samen komen, omgeving
NEX_074.mov,lijken op,waarom
NEX_078.mov, ruzie, sommigen
NEX_089.mov,oorlog, schema
NEX_095.mov,integreren, twee of meerdere platte objecten omdraaien
NEX_103e.mov, samen komen, sommige
NEX_103h.mov, samen komen, koepel
NEX_105.mov,ontmoeten,enzovoorts
NEX_107.mov, echtscheiding,in de rij staan
ROT_001.mov,laptop, plaats
ROT_002.mov, omdraaien, scheiden
ROT_004.mov,andersom,synoniem
ROT_007.mov, knakken,synoniem
ROT_016.mov, opsluiten, vijandig
ROT_028.mov, zich bekeren, waar
ROT_031.mov,vaststellen,hoeveel
ROT_034.mov, iets kapot maken, twee personen zijn samen
ROT_039.mov, toen het begon, van elkaar af
ROT_040.mov, draaiknop, van elkaar af
ROT_047.mov, kraan, scheiden
ROT_060.mov, uit doen , vijandig
ROT_088.mov, takjes of pennen/potloden tegen elkaar opgestapeld vallen uit elkaar, elkaar
ROT_091.mov, op slot doen, scheiden
ROT_101.mov, twee of meerdere platte objecten omdraaien, kamer
ROT_102.mov, weerleggen, onduidelijk
ROT_103a.mov, terugdraaien van voorstel/idea, koepel
ROT_103d.mov, zich bekeren, of dit of dat
ROT_103h.mov, afsluiten,overeenkomst
SPR_001.mov, tweeling,overlijden
SPR_003.mov,soms, kapot
SPR_007.mov, allebei,licht aanschakelen
SPR_020.mov,enzovoorts,zus
SPR_024.mov, wij, agreement
SPR_033_1.mov, regen, ook
SPR_035.mov, van alles wat, sluiten
SPR_039.mov,verward, iets kapot maken
SPR_045.mov,verspreiden, elkaar tegenkomen
SPR_057.mov, aantal, bijeenkomen
SPR_059.mov, verwarring, groep komt bijeen
SPR_060.mov, rij, iets opgestapeld tegen elkaar valt uit elkaar
SPR_064.mov, bestuur, schakelen
SPR_075.mov,vaag, van gedachten veranderen
SPR_082.mov, war,
SPR_083.mov, waar, dezelfde
